,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
85,8039,US Diplomatic Post: Mumbai,pm25,18.0,"{'utc': '2022-05-24T14:00:00+00:00', 'local': '2022-05-24T19:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
86,8039,US Diplomatic Post: Mumbai,pm25,17.0,"{'utc': '2022-05-24T15:00:00+00:00', 'local': '2022-05-24T20:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
87,8039,US Diplomatic Post: Mumbai,pm25,16.0,"{'utc': '2022-05-24T16:00:00+00:00', 'local': '2022-05-24T21:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
88,8039,US Diplomatic Post: Mumbai,pm25,12.0,"{'utc': '2022-05-24T17:00:00+00:00', 'local': '2022-05-24T22:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
89,8039,US Diplomatic Post: Mumbai,pm25,12.0,"{'utc': '2022-05-24T18:00:00+00:00', 'local': '2022-05-24T23:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
90,8039,US Diplomatic Post: Mumbai,pm25,11.0,"{'utc': '2022-05-24T19:00:00+00:00', 'local': '2022-05-25T00:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
91,8039,US Diplomatic Post: Mumbai,pm25,11.0,"{'utc': '2022-05-24T20:00:00+00:00', 'local': '2022-05-25T01:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
92,8039,US Diplomatic Post: Mumbai,pm25,11.0,"{'utc': '2022-05-24T21:00:00+00:00', 'local': '2022-05-25T02:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
93,8039,US Diplomatic Post: Mumbai,pm25,14.0,"{'utc': '2022-05-24T22:00:00+00:00', 'local': '2022-05-25T03:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
94,8039,US Diplomatic Post: Mumbai,pm25,11.0,"{'utc': '2022-05-24T23:00:00+00:00', 'local': '2022-05-25T04:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
95,8039,US Diplomatic Post: Mumbai,pm25,12.0,"{'utc': '2022-05-25T00:00:00+00:00', 'local': '2022-05-25T05:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
96,8039,US Diplomatic Post: Mumbai,pm25,14.0,"{'utc': '2022-05-25T01:00:00+00:00', 'local': '2022-05-25T06:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
97,8039,US Diplomatic Post: Mumbai,pm25,12.0,"{'utc': '2022-05-25T02:00:00+00:00', 'local': '2022-05-25T07:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
